Date,Close/Last,Volume,Open,High,Low,Daily Return,Cumulative Return,SMA_20,SMA_50,EMA_20,EMA_50,Volatility_20,Up_Streak,Down_Streak,Position,Strategy Return,Cumulative Strategy Return
2014-12-22,207.47,147884900,206.75,207.47,206.46,0.0046000387371682,0.0253533656222206,205.345255,,204.63348782706703,204.22643677022717,0.0098574090413372,1,0,0,0.0,-0.004019511716834456
2014-12-23,207.75,120516200,208.17,208.23,207.3991,0.0013495927121993,0.0267371750518934,205.369755,,204.9302985102035,204.36461572041432,0.0098427947119959,2,0,0,0.0,-0.004019511716834456
2014-12-24,207.77,42963400,208.02,208.34,207.72,9.626955475328104e-05,0.0268360185825842,205.402755,,205.2007462711365,204.49816020196675,0.0098406103772924,3,0,1,0.0,-0.004019511716834456
2014-12-26,208.44,57204150,208.31,208.85,208.25,0.0032247196419117,0.0301472768607298,205.442755,,205.5092466262664,204.6527421548308,0.0098501132754932,4,0,1,0.0032247196419117,-0.0008077538733068934
2014-12-29,208.72,79514380,208.22,208.97,208.14,0.0013433122241413,0.0315310862904028,205.518755,,205.81503266186004,204.8122424624845,0.0098369211574948,5,0,1,0.0013433122241413,0.000534473285182191
2014-12-30,207.6,73448190,208.21,208.37,207.51,-0.0053660406285933,0.0259958485717115,205.610755,,205.9850295512067,204.92156628748512,0.0097807591139199,0,1,1,-0.0053660406285933,-0.0048344353487742575
2014-12-31,205.54,130284300,207.99,208.19,205.39,-0.0099229287090558,0.0158149649105472,205.533505,,205.9426457844251,204.9458185899367,0.0099399853488349,0,2,1,-0.0099229287090558,-0.0147093923005156
2015-01-02,205.43,121394000,206.38,206.88,204.18,-0.0005351756349127,0.0152713254917473,205.410505,,205.8938223763846,204.9648060962137,0.0098903523231768,0,3,0,-0.0005351756349127,-0.015236695827064661
2015-01-05,201.72,169139200,204.17,204.37,201.35,-0.0180596796962468,-0.0030641494514176,205.113505,,205.4963154833956,204.83755879832296,0.0106388380284139,0,4,0,-0.0,-0.015236695827064661
2015-01-06,199.82,208922400,202.09,202.72,198.855,-0.0094189966289907,-0.0124542848670546,204.704505,,204.9557140087865,204.640791786624,0.0107594719998861,0,5,0,-0.0,-0.015236695827064661
2015-01-07,202.31,125069700,201.42,202.72,200.88,0.0124612150935843,-0.0001482652960355,204.489505,,204.7037412460449,204.54938818714857,0.0111602916901307,1,0,0,0.0,-0.015236695827064661
2015-01-08,205.9,146039400,204.01,206.16,203.99,0.01774504473333,0.017594148462984,204.461005,,204.81767065118348,204.60235335628,0.0119218958884854,2,0,0,0.0,-0.015236695827064661
2015-01-09,204.25,157293400,206.4,206.42,203.51,-0.0080135988343856,0.0094395571809833,204.5155,,204.7636067796422,204.58853557760236,0.0114837454654748,0,1,0,-0.0,-0.015236695827064661
2015-01-12,202.65,144043100,204.41,204.6,201.92,-0.0078335373317013,0.0015320747257099,204.4385,,204.5623108958668,204.5125145745591,0.0115656192742016,0,2,0,-0.0,-0.015236695827064661
2015-01-13,202.08,214341100,204.12,205.48,200.51,-0.0028127313101405,-0.0012849658989811,204.498,,204.32590033435565,204.41712184614505,0.0109730128487863,0,3,0,-0.0,-0.015236695827064661
2015-01-14,200.86,192551700,199.65,201.1,198.57,-0.0060372129849564,-0.007314421271127,204.5655,,203.99581458822652,204.2776268717864,0.0109457301767712,0,4,0,-0.0,-0.015236695827064661
2015-01-15,199.0199,175383200,201.63,202.01,198.88,-0.0091611072388728,-0.0164085203123448,204.620995,,203.5219179607764,204.07144150426535,0.0109947745065379,0,5,0,-0.0,-0.015236695827064661
2015-01-16,201.63,211677200,198.77,201.82,198.55,0.0131147689251174,-0.0035089453395269,204.612995,204.7034,203.3417352978453,203.9756987001765,0.0104798747186811,1,0,0,0.0,-0.015236695827064661
2015-01-20,202.055,130756800,202.4,202.72,200.17,0.0021078212567575,-0.0014085203123448,204.376745,204.6977,203.2191890790029,203.90037718252256,0.0087498352408522,2,0,0,0.0,-0.015236695827064661
2015-01-21,203.08,122729500,201.5,203.66,200.94,0.005072876197075,0.0036572106355645,204.204745,204.6963,203.20593297624072,203.868205528306,0.0088583784683696,3,0,1,0.0,-0.015236695827064661
2015-01-22,206.1,173536400,203.99,206.26,202.33,0.0148709868032301,0.0185825837698929,204.136245,204.7515,203.4815584070749,203.95572688013715,0.0094649989064227,4,0,1,0.0148709868032301,-0.0005922937264035699
2015-01-23,204.97,117356900,205.79,206.1,204.81,-0.0054827753517709,0.0129979242858562,203.997245,204.7713,203.62331474925827,203.99550229660235,0.009525859431296,0,1,1,-0.0054827753517709,-0.006071821664730304
2015-01-26,205.45,91684840,204.71,205.56,203.85,0.0023418061179685,0.0153701690224381,203.881245,204.7968,203.79728477313844,204.0525414222258,0.0095480819865491,1,0,1,0.0023418061179685,-0.003744234575883465
2015-01-27,202.74,133590500,202.97,204.12,201.74,-0.0131905573132148,0.001976870613819,203.596245,204.7724,203.6965909852205,204.0010692095895,0.0099081630112423,0,1,1,-0.0131905573132148,-0.016885403348330996
2015-01-28,200.14,167681700,204.17,204.29,199.91,-0.0128243069941798,-0.0108727883760001,203.167245,204.6914,203.35786803424716,203.84965473078208,0.0102082230556244,0,2,1,-0.0128243069941798,-0.029493166746251243
2015-01-29,201.9902,173293000,200.38,202.3,198.68,0.009244528829819,-0.0017287733517835,202.886755,204.646404,203.2276139357474,203.77673493741807,0.0104774538143831,1,0,1,0.009244528829819,-0.020521288346700528
2015-01-30,199.45,193789000,200.57,202.17,199.13,-0.0125758576406181,-0.0142828901848368,202.582255,204.548004,202.86784117996197,203.6070590575193,0.0106081235096304,0,1,1,-0.0125758576406181,-0.03283907318646839
2015-02-02,201.92,162649000,200.05,202.03,197.86,0.0123840561544246,-0.0020757141445086,202.406755,204.475404,202.77757059139412,203.54089987879303,0.0110508271348189,1,0,1,0.0123840561544246,-0.02086169795844428
2015-02-03,204.84,123861500,203.0,204.85,202.55,0.0144611727416799,0.0123554413363651,202.562755,204.467804,202.9739924398328,203.5918449815855,0.0107670064039998,2,0,1,0.0144611727416799,-0.006702209834626216
2015-02-04,204.06,132933500,203.92,205.38,203.51,-0.0038078500292911,0.0085005436394194,202.774755,204.437404,203.07742173127733,203.6102040019155,0.0105571520624462,0,1,1,-0.0038078500292911,-0.010484538854002246
2015-02-05,206.12,97236260,204.86,206.3,204.77,0.0100950700774282,0.0186814273005839,202.965255,204.426204,203.3671910902033,203.7086273743894,0.0104357311240108,1,0,1,0.0100950700774282,-0.0004953109310346093
2015-02-06,205.55,125550800,206.56,207.24,204.92,-0.0027653793906461,0.0158643866758929,202.947755,204.392004,203.5750776530411,203.78083806558985,0.0096826341864312,0,1,1,-0.0027653793906461,-0.0032593205990401053
2015-02-09,204.63,87074270,204.77,205.64,204.135,-0.0044757966431525,0.0113175842641106,202.966755,204.342404,203.67554644798955,203.81413853360596,0.0095608606926961,0,2,1,-0.0044757966431525,-0.0077205291859964165
2015-02-10,206.81,95999260,205.88,207.12,204.6801,0.0106533743830328,0.0220915291094205,203.174755,204.325804,203.9740658338953,203.931623296994,0.0096430869271673,1,0,1,0.0106533743830328,0.002850595509182874
2015-02-11,206.93,90268410,206.61,207.45,205.83,0.0005802427348775,0.0226845902935661,203.417255,204.320404,204.2555833735243,204.04920669711183,0.0096011115513727,2,0,1,0.0005802427348775,0.003432492281394639
2015-02-12,208.92,97202820,207.89,208.99,206.9727,0.0096167786207894,0.0325195215973121,203.820255,204.383604,204.69981352842677,204.2402181991859,0.0096155292204282,3,0,1,0.0096167786207894,0.013082280420571912
2015-02-13,209.78,93553960,209.07,209.84,208.76,0.0041164081945241,0.0367697934170214,204.35826,204.437504,205.1836408114337,204.45746454431583,0.0092550380886361,4,0,1,0.0041164081945241,0.01725254062142234
2015-02-17,210.11,76888670,209.4,210.32,209.1,0.0015730765563923,0.0384007116734215,204.78226,204.48190400000004,205.65281787701147,204.67913260140156,0.0089238501425544,5,0,1,0.0015730765563923,0.01885275674500453
